window_label,from_year,to_year,period,revenue_growth,fcf_margin_growth,share_count_growth,fcf_per_share_growth,share_count_effect_simple,revenue_log_contribution,fcf_margin_log_contribution,share_count_log_contribution,rev_per_share_log_contribution,fcf_per_share_log_change,tie_out_gap,rank_1_factor,rank_1_log_contribution,rank_2_factor,rank_2_log_contribution,rank_3_factor,rank_3_log_contribution,revenue_weight_abs_share,fcf_margin_weight_abs_share,share_count_weight_abs_share,largest_driver,largest_driver_direction,largest_driver_abs_log_contribution,has_offsetting_factors,fcf_per_share_direction
2010_2025,2014,2015,2014-2015,0.13617975485219924,0.21512907623191269,0.02405357865114266,0.3481765844375564,-0.02405357865114266,0.12767154268624245,0.19485030673173312,-0.02376884815002728,0.10390269453621517,0.2987530012679484,1.1102230246251565e-16,fcf_margin,0.19485030673173312,revenue,0.12767154268624245,share_count,-0.02376884815002728,0.3686831427551442,0.5626784320230531,0.06863842522180277,fcf_margin,positive,0.19485030673173312,yes,positive
2010_2025,2015,2016,2015-2016,0.20380322447292265,0.2998366525112037,0.008333814382404992,0.5518150152878389,-0.008333814382404992,0.1854858987065493,0.2622386046581692,-0.00829927988804079,0.1771866188185085,0.4394252234766776,-1.1102230246251565e-16,fcf_margin,0.2622386046581692,revenue,0.1854858987065493,share_count,-0.00829927988804079,0.406746107370765,0.5750546666396538,0.018199225989581264,fcf_margin,positive,0.2622386046581692,yes,positive
2010_2025,2016,2017,2016-2017,0.22801090038993266,-0.25137961232685535,0.0032345565133198306,-0.08364998957793268,-0.0032345565133198306,0.20539570622458758,-0.28952324948091523,-0.003229336588466706,0.20216636963612086,-0.08735687984479448,-1.249000902703301e-16,fcf_margin,-0.28952324948091523,revenue,0.20539570622458758,share_count,-0.003229336588466706,0.412318398761826,0.5811989199996302,0.006482681238543714,fcf_margin,negative,0.28952324948091523,yes,negative
2010_2025,2017,2018,2017-2018,0.23421586757475987,-0.22662685174998654,0.0033097242051043363,-0.04863933030984413,-0.0033097242051043363,0.2104358433889969,-0.25699361950913635,-0.003304259123236539,0.20713158426576037,-0.0498620352433761,-1.1796119636642288e-16,fcf_margin,-0.25699361950913635,revenue,0.2104358433889969,share_count,-0.003304259123236539,0.4470379612604932,0.545942658209368,0.007019380530138727,fcf_margin,negative,0.25699361950913635,yes,negative
2010_2025,2018,2019,2018-2019,0.18300089899794614,0.14471934464605574,-0.006723094735098467,0.36337008002362126,0.006723094735098467,0.16805434492660015,0.13515949311465486,0.006745796544663331,0.1748001414712635,0.3099596345859183,-5.551115123125783e-17,revenue,0.16805434492660015,fcf_margin,0.13515949311465486,share_count,0.006745796544663331,0.5421813880736681,0.43605514406808904,0.021763467858242843,revenue,positive,0.16805434492660015,no,positive
2010_2025,2019,2020,2019-2020,0.1277053201282614,0.2266339876915071,-0.016503675794298567,0.40649399466442615,0.016503675794298567,0.12018487792544265,0.2042738226889862,0.01664137862243626,0.13682625654787892,0.34110007923686486,-2.220446049250313e-16,fcf_margin,0.2042738226889862,revenue,0.12018487792544265,share_count,0.01664137862243626,0.35234491353484687,0.598867708110778,0.04878737835437509,fcf_margin,positive,0.2042738226889862,no,positive
2010_2025,2020,2021,2020-2021,0.41150076427049154,0.10813223461159605,-0.013615170566254386,0.5857193352871781,0.013615170566254386,0.34465351017104895,0.1026759265213312,0.013708706980862195,0.35836221715191113,0.4610381436732425,1.1102230246251565e-16,revenue,0.34465351017104895,fcf_margin,0.1026759265213312,share_count,0.013708706980862195,0.747559643167659,0.22270592559495916,0.029734431237381842,revenue,positive,0.34465351017104895,no,positive
2010_2025,2021,2022,2021-2022,0.09780815643715779,-0.18427345755708768,-0.029141603906009395,-0.0776087889655388,0.029141603906009395,0.09331560690852661,-0.20367609973839107,0.029574654390378728,0.12289026129890535,-0.08078583843948564,8.326672684688674e-17,fcf_margin,-0.20367609973839107,revenue,0.09331560690852661,share_count,0.029574654390378728,0.28574776229897497,0.6236897734703596,0.09056246423066543,fcf_margin,negative,0.20367609973839107,yes,negative
2010_2025,2022,2023,2022-2023,0.0868277022726951,0.06553871241958453,-0.03322983880007635,0.1978617431305909,0.03322983880007635,0.0832630880066023,0.06348050452869762,0.033794494096282664,0.11705758210288497,0.18053808663158244,-1.3877787807814457e-16,revenue,0.0832630880066023,fcf_margin,0.06348050452869762,share_count,0.033794494096282664,0.4611940314650294,0.3516183521886988,0.18718761634627182,revenue,positive,0.0832630880066023,no,positive
2010_2025,2023,2024,2023-2024,0.1386624332290156,-0.08046553149196767,-0.02153876387933573,0.0700877221263616,0.02153876387933573,0.1298542693610936,-0.08388774949784526,0.021774108545784845,0.15162837790687844,0.06774062840903314,-4.163336342344337e-17,revenue,0.1298542693610936,fcf_margin,-0.08388774949784526,share_count,0.021774108545784845,0.5513604133696755,0.35618685829394603,0.09245272833637858,revenue,positive,0.1298542693610936,yes,positive
2010_2025,2024,2025,2024-2025,0.1509008108154437,-0.12512094306067356,-0.01745365442165936,0.02478526384854307,0.01745365442165936,0.14054494949761556,-0.1336696228186455,0.017607765279138352,0.1581527147767539,0.02448309195810848,6.591949208711867e-17,revenue,0.14054494949761556,fcf_margin,-0.1336696228186455,share_count,0.017607765279138352,0.4816113483830555,0.4580513744084024,0.060337277208542026,revenue,positive,0.14054494949761556,yes,positive
2001_2025,2001,2002,2001-2002,4.085367829125494,0.2877587759445617,0.18127061292671431,4.5437991762424215,-0.18127061292671431,1.6263673629956013,0.2529033243846665,-0.16659064977025365,1.4597767132253476,1.712680037610014,-2.220446049250313e-16,revenue,1.6263673629956013,fcf_margin,0.2529033243846665,share_count,-0.16659064977025365,0.7949548356296757,0.12361704079950533,0.08142812357081901,revenue,positive,1.6263673629956013,yes,positive
2001_2025,2002,2003,2002-2003,2.33539776295312,-0.44478472917566414,0.1631895500673064,0.5920567478943952,-0.1631895500673064,1.2045919415068858,-0.58839936508074,-0.15116584397693747,1.0534260975299483,0.4650267324492083,-5.551115123125783e-17,revenue,1.2045919415068858,fcf_margin,-0.58839936508074,share_count,-0.15116584397693747,0.6195959730709447,0.3026501046532555,0.0777539222757998,revenue,positive,1.2045919415068858,yes,positive
2001_2025,2003,2004,2003-2004,1.17555701689162,0.38340773546042395,0.06290183059406629,1.83157138267504,-0.06290183059406629,0.777284731472997,0.3245498287983397,-0.061002743819596625,0.7162819876534005,1.04083181645174,0.0,revenue,0.777284731472997,fcf_margin,0.3245498287983397,share_count,-0.061002743819596625,0.6684380770538246,0.279101665948068,0.05246025699810731,revenue,positive,0.777284731472997,yes,positive
2001_2025,2004,2005,2004-2005,0.9247823059096214,0.2799649679156757,0.0699938778727256,1.3024934753143675,-0.0699938778727256,0.6548128735056781,0.24683270874111457,-0.06765292684317116,0.5871599466625069,0.8339926554036214,0.0,revenue,0.6548128735056781,fcf_margin,0.24683270874111457,share_count,-0.06765292684317116,0.6755533691271806,0.25465087011518883,0.06979576075763061,revenue,positive,0.6548128735056781,yes,positive
2001_2025,2005,2006,2005-2006,0.7275903469217535,-0.40098432111437843,0.060553526521718304,-0.02423246105118837,-0.060553526521718304,0.5467275745232472,-0.512467506108045,-0.05879096665951106,0.4879366078637361,-0.024530898244309315,-3.8510861166685117e-16,revenue,0.5467275745232472,fcf_margin,-0.512467506108045,share_count,-0.05879096665951106,0.48902897835632464,0.4583845275617696,0.05258649408190578,revenue,positive,0.5467275745232472,yes,negative
2001_2025,2006,2007,2006-2007,0.5647445425551187,0.2846967748323963,0.02152170261154973,0.9678703468736525,-0.02152170261154973,0.44772257907421664,0.2505227176081225,-0.021293380876134936,0.4264291981980817,0.6769519158062043,1.1102230246251565e-16,revenue,0.44772257907421664,fcf_margin,0.2505227176081225,share_count,-0.021293380876134936,0.6222355976657447,0.3481713011706219,0.029593101163633426,revenue,positive,0.44772257907421664,yes,positive
2001_2025,2007,2008,2007-2008,0.3134607923617627,0.24034320401480858,0.004123841750735213,0.6224514345813512,-0.004123841750735213,0.2726654799543308,0.2153881187524356,-0.004115362020060334,0.26855011793427047,0.4839382366867061,0.0,revenue,0.2726654799543308,fcf_margin,0.2153881187524356,share_count,-0.004115362020060334,0.5540078747584225,0.4376304398277252,0.00836168541385226,revenue,positive,0.2726654799543308,yes,positive
2001_2025,2008,2009,2008-2009,0.0851097127624676,0.42691679701372465,0.005990287042461073,0.5391413770957705,-0.005990287042461073,0.0816810996337938,0.3555160305675825,-0.005972416603562708,0.0757086830302311,0.43122471359781356,-5.551115123125783e-17,fcf_margin,0.3555160305675825,revenue,0.0816810996337938,share_count,-0.005972416603562708,0.18431117440870937,0.8022122303544986,0.013476595236791993,fcf_margin,positive,0.3555160305675825,yes,positive
2001_2025,2009,2010,2009-2010,0.23975907042889433,-0.3303318355173399,0.012006286472812988,-0.17962250611261377,-0.012006286472812988,0.21491706269742145,-0.40097296617878914,-0.01193478277563695,0.2029822799217845,-0.19799068625700464,0.0,fcf_margin,-0.40097296617878914,revenue,0.21491706269742145,share_count,-0.01193478277563695,0.3423201165496483,0.6386701492790694,0.01900973417128222,fcf_margin,negative,0.40097296617878914,yes,negative
2001_2025,2010,2011,2010-2011,0.2927594556802291,0.2186280174679791,0.012259822862110248,0.5563127736160098,-0.012259822862110248,0.2567790466594214,0.19772565008935686,-0.012185279871304197,0.24459376678811723,0.4423194168774742,1.6653345369377348e-16,revenue,0.2567790466594214,fcf_margin,0.19772565008935686,share_count,-0.012185279871304197,0.5502133311692209,0.4236766590132255,0.026110009817553563,revenue,positive,0.2567790466594214,yes,positive
2001_2025,2011,2012,2011-2012,0.3237039968341908,-0.0938874360337364,0.015558625242196422,0.18104931876067099,-0.015558625242196422,0.28043386517413466,-0.0985917378682833,-0.015438830792641665,0.26499503438149297,0.1664032965132098,1.1102230246251565e-16,revenue,0.28043386517413466,fcf_margin,-0.0985917378682833,share_count,-0.015438830792641665,0.7109230671259822,0.2499382185353324,0.0391387143386854,revenue,positive,0.28043386517413466,yes,positive
2001_2025,2012,2013,2012-2013,0.10650722471350282,-0.20216397189290602,0.019572380794751876,-0.134135696625013,-0.019572380794751876,0.10120840982656026,-0.2258521812084793,-0.01938330487787237,0.08182510494868789,-0.1440270762597914,2.7755575615628914e-17,fcf_margin,-0.2258521812084793,revenue,0.10120840982656026,share_count,-0.01938330487787237,0.2921350643510883,0.6519156027077279,0.0559493329411839,fcf_margin,negative,0.2258521812084793,yes,negative
2001_2025,2013,2014,2013-2014,0.18880023055170292,-0.13861079032688317,-0.001422558695518772,0.02547849440343164,0.001422558695518772,0.1729445889178319,-0.14920883294033238,0.001423571492762839,0.17436816041059475,0.025159327470262435,7.28583859910259e-17,revenue,0.1729445889178319,fcf_margin,-0.14920883294033238,share_count,0.001423571492762839,0.5344773963279562,0.4611231206370466,0.004399483034997304,revenue,positive,0.1729445889178319,yes,positive
2001_2025,2014,2015,2014-2015,0.13617975485219924,0.21512907623191269,0.02405357865114266,0.3481765844375564,-0.02405357865114266,0.12767154268624245,0.19485030673173312,-0.02376884815002728,0.10390269453621517,0.2987530012679484,1.1102230246251565e-16,fcf_margin,0.19485030673173312,revenue,0.12767154268624245,share_count,-0.02376884815002728,0.3686831427551442,0.5626784320230531,0.06863842522180277,fcf_margin,positive,0.19485030673173312,yes,positive
2001_2025,2015,2016,2015-2016,0.20380322447292265,0.2998366525112037,0.008333814382404992,0.5518150152878389,-0.008333814382404992,0.1854858987065493,0.2622386046581692,-0.00829927988804079,0.1771866188185085,0.4394252234766776,-1.1102230246251565e-16,fcf_margin,0.2622386046581692,revenue,0.1854858987065493,share_count,-0.00829927988804079,0.406746107370765,0.5750546666396538,0.018199225989581264,fcf_margin,positive,0.2622386046581692,yes,positive
2001_2025,2016,2017,2016-2017,0.22801090038993266,-0.25137961232685535,0.0032345565133198306,-0.08364998957793268,-0.0032345565133198306,0.20539570622458758,-0.28952324948091523,-0.003229336588466706,0.20216636963612086,-0.08735687984479448,-1.249000902703301e-16,fcf_margin,-0.28952324948091523,revenue,0.20539570622458758,share_count,-0.003229336588466706,0.412318398761826,0.5811989199996302,0.006482681238543714,fcf_margin,negative,0.28952324948091523,yes,negative
2001_2025,2017,2018,2017-2018,0.23421586757475987,-0.22662685174998654,0.0033097242051043363,-0.04863933030984413,-0.0033097242051043363,0.2104358433889969,-0.25699361950913635,-0.003304259123236539,0.20713158426576037,-0.0498620352433761,-1.1796119636642288e-16,fcf_margin,-0.25699361950913635,revenue,0.2104358433889969,share_count,-0.003304259123236539,0.4470379612604932,0.545942658209368,0.007019380530138727,fcf_margin,negative,0.25699361950913635,yes,negative
2001_2025,2018,2019,2018-2019,0.18300089899794614,0.14471934464605574,-0.006723094735098467,0.36337008002362126,0.006723094735098467,0.16805434492660015,0.13515949311465486,0.006745796544663331,0.1748001414712635,0.3099596345859183,-5.551115123125783e-17,revenue,0.16805434492660015,fcf_margin,0.13515949311465486,share_count,0.006745796544663331,0.5421813880736681,0.43605514406808904,0.021763467858242843,revenue,positive,0.16805434492660015,no,positive
2001_2025,2019,2020,2019-2020,0.1277053201282614,0.2266339876915071,-0.016503675794298567,0.40649399466442615,0.016503675794298567,0.12018487792544265,0.2042738226889862,0.01664137862243626,0.13682625654787892,0.34110007923686486,-2.220446049250313e-16,fcf_margin,0.2042738226889862,revenue,0.12018487792544265,share_count,0.01664137862243626,0.35234491353484687,0.598867708110778,0.04878737835437509,fcf_margin,positive,0.2042738226889862,no,positive
2001_2025,2020,2021,2020-2021,0.41150076427049154,0.10813223461159605,-0.013615170566254386,0.5857193352871781,0.013615170566254386,0.34465351017104895,0.1026759265213312,0.013708706980862195,0.35836221715191113,0.4610381436732425,1.1102230246251565e-16,revenue,0.34465351017104895,fcf_margin,0.1026759265213312,share_count,0.013708706980862195,0.747559643167659,0.22270592559495916,0.029734431237381842,revenue,positive,0.34465351017104895,no,positive
2001_2025,2021,2022,2021-2022,0.09780815643715779,-0.18427345755708768,-0.029141603906009395,-0.0776087889655388,0.029141603906009395,0.09331560690852661,-0.20367609973839107,0.029574654390378728,0.12289026129890535,-0.08078583843948564,8.326672684688674e-17,fcf_margin,-0.20367609973839107,revenue,0.09331560690852661,share_count,0.029574654390378728,0.28574776229897497,0.6236897734703596,0.09056246423066543,fcf_margin,negative,0.20367609973839107,yes,negative
2001_2025,2022,2023,2022-2023,0.0868277022726951,0.06553871241958453,-0.03322983880007635,0.1978617431305909,0.03322983880007635,0.0832630880066023,0.06348050452869762,0.033794494096282664,0.11705758210288497,0.18053808663158244,-1.3877787807814457e-16,revenue,0.0832630880066023,fcf_margin,0.06348050452869762,share_count,0.033794494096282664,0.4611940314650294,0.3516183521886988,0.18718761634627182,revenue,positive,0.0832630880066023,no,positive
2001_2025,2023,2024,2023-2024,0.1386624332290156,-0.08046553149196767,-0.02153876387933573,0.0700877221263616,0.02153876387933573,0.1298542693610936,-0.08388774949784526,0.021774108545784845,0.15162837790687844,0.06774062840903314,-4.163336342344337e-17,revenue,0.1298542693610936,fcf_margin,-0.08388774949784526,share_count,0.021774108545784845,0.5513604133696755,0.35618685829394603,0.09245272833637858,revenue,positive,0.1298542693610936,yes,positive
2001_2025,2024,2025,2024-2025,0.1509008108154437,-0.12512094306067356,-0.01745365442165936,0.02478526384854307,0.01745365442165936,0.14054494949761556,-0.1336696228186455,0.017607765279138352,0.1581527147767539,0.02448309195810848,6.591949208711867e-17,revenue,0.14054494949761556,fcf_margin,-0.1336696228186455,share_count,0.017607765279138352,0.4816113483830555,0.4580513744084024,0.060337277208542026,revenue,positive,0.14054494949761556,yes,positive
